# #WIMP mass GeVc2, signal for median 3sigma, signal for median 5sigma
6.000000000000000000e+00,5.200402451575682737e-45,9.571125970983935114e-45
7.000000000000000000e+00,1.079163477199378045e-45,2.080844752104267776e-45
8.000000000000000000e+00,3.447672022715414330e-46,6.425658188353932590e-46
9.000000000000000000e+00,1.387568228424722607e-46,2.626820942365243685e-46
1.000000000000000000e+01,7.032389820868807900e-47,1.307340505282150884e-46
1.500000000000000000e+01,1.020166511096051345e-47,1.978571835361005549e-47
2.000000000000000000e+01,4.754711214355817204e-48,9.232271878221471549e-48
3.000000000000000000e+01,2.847664558670912230e-48,5.514691753402067113e-48
4.000000000000000000e+01,2.602620344486027832e-48,4.978801631826282954e-48
5.000000000000000000e+01,2.588544741664903386e-48,4.995761664127998625e-48
7.000000000000000000e+01,2.838661362671680416e-48,5.643439808487988912e-48
8.000000000000000000e+01,3.071164861342527592e-48,6.014093760647216941e-48
1.000000000000000000e+02,3.487614923276816555e-48,6.974702950975281480e-48
1.200000000000000000e+02,4.101350579895940946e-48,7.963048655961730441e-48
1.500000000000000000e+02,4.768350087823773277e-48,9.558796579213969799e-48
2.000000000000000000e+02,6.448203995798291743e-48,1.231930547501013128e-47
3.000000000000000000e+02,9.167683310164567796e-48,1.770988539413422834e-47
5.000000000000000000e+02,1.508277266240038634e-47,2.870218708962697092e-47
7.000000000000000000e+02,2.084515551396293465e-47,3.970082601526944954e-47
1.000000000000000000e+03,2.946472786077247392e-47,5.747141380336536536e-47
3.300000000000000000e+03,9.691692920861123617e-47,1.854030619243529839e-46
1.000000000000000000e+04,2.897439785577114336e-46,5.659549027446460834e-46
